notes,geolevel,GEOID,NAME,t_pop,area,pop_density,ObjectId
0,Census tract,6085509304.0,"Census Tract 5093.04, Santa Clara County, California",3197.0,0.6,5308.8,386
0,Census tract,6085509401.0,"Census Tract 5094.01, Santa Clara County, California",3994.0,0.26,15548.1,387
0,Census tract,6085509403.0,"Census Tract 5094.03, Santa Clara County, California",5534.0,0.2,27227.1,388
0,Census tract,6085509404.0,"Census Tract 5094.04, Santa Clara County, California",6398.0,0.4,15801.0,389
0,Census tract,6085509500.0,"Census Tract 5095, Santa Clara County, California",5321.0,0.38,14031.6,390
0,Census tract,6085509600.0,"Census Tract 5096, Santa Clara County, California",3562.0,0.4,8797.2,391
0,Census tract,6085509700.0,"Census Tract 5097, Santa Clara County, California",3087.0,0.4,7634.5,392
0,Census tract,6085509801.0,"Census Tract 5098.01, Santa Clara County, California",5489.0,0.65,8429.9,393
0,Census tract,6085509802.0,"Census Tract 5098.02, Santa Clara County, California",3056.0,0.36,8522.9,394
0,Census tract,6085509901.0,"Census Tract 5099.01, Santa Clara County, California",2294.0,0.54,4264.1,395
0,Census tract,6085509902.0,"Census Tract 5099.02, Santa Clara County, California",4925.0,0.86,5722.5,396
0,Census tract,6085510001.0,"Census Tract 5100.01, Santa Clara County, California",6264.0,1.36,4614.7,397
0,Census tract,6085500901.0,"Census Tract 5009.01, Santa Clara County, California",4326.0,0.28,15544.1,398
0,Census tract,6085500902.0,"Census Tract 5009.02, Santa Clara County, California",5064.0,0.09,54080.5,399
0,Census tract,6085501000.0,"Census Tract 5010, Santa Clara County, California",5156.0,0.31,16637.0,400
0,Census tract,6085510002.0,"Census Tract 5100.02, Santa Clara County, California",3827.0,0.74,5177.2,401
0,Census tract,6085510100.0,"Census Tract 5101, Santa Clara County, California",2989.0,0.78,3824.2,402
0,Census tract,6085510200.0,"Census Tract 5102, Santa Clara County, California",4699.0,1.04,4530.6,403
0,Census tract,6085510300.0,"Census Tract 5103, Santa Clara County, California",4307.0,0.9,4769.9,404
0,Census tract,6085510400.0,"Census Tract 5104, Santa Clara County, California",3875.0,0.66,5861.0,405
0,Census tract,6085510500.0,"Census Tract 5105, Santa Clara County, California",4438.0,1.01,4398.1,406
0,Census tract,6085510600.0,"Census Tract 5106, Santa Clara County, California",5663.0,0.8,7079.0,407
0,Census tract,6085510700.0,"Census Tract 5107, Santa Clara County, California",5169.0,0.56,9279.7,408
0,Census tract,6085510801.0,"Census Tract 5108.01, Santa Clara County, California",5837.0,0.85,6887.3,409
0,Census tract,6085510802.0,"Census Tract 5108.02, Santa Clara County, California",2061.0,0.36,5711.6,410
0,Census tract,6085510803.0,"Census Tract 5108.03, Santa Clara County, California",3259.0,0.39,8345.3,411
0,Census tract,6085510900.0,"Census Tract 5109, Santa Clara County, California",5392.0,0.64,8443.9,412
0,Census tract,6085511000.0,"Census Tract 5110, Santa Clara County, California",6630.0,0.77,8642.8,413
0,Census tract,6085511100.0,"Census Tract 5111, Santa Clara County, California",5610.0,0.85,6621.9,414
0,Census tract,6085511200.0,"Census Tract 5112, Santa Clara County, California",4978.0,0.8,6260.2,415
0,Census tract,6085511301.0,"Census Tract 5113.01, Santa Clara County, California",4228.0,0.38,11222.7,416
0,Census tract,6085511302.0,"Census Tract 5113.02, Santa Clara County, California",3943.0,0.39,10207.5,417
0,Census tract,6085511400.0,"Census Tract 5114, Santa Clara County, California",3496.0,0.59,5892.4,418
0,Census tract,6085511501.0,"Census Tract 5115.01, Santa Clara County, California",4738.0,0.59,8050.8,419
0,Census tract,6085511502.0,"Census Tract 5115.02, Santa Clara County, California",3178.0,0.75,4246.4,420
0,Census tract,6085511608.0,"Census Tract 5116.08, Santa Clara County, California",3326.0,0.95,3507.5,421
0,Census tract,6085511609.0,"Census Tract 5116.09, Santa Clara County, California",3473.0,0.59,5849.0,422
0,Census tract,6085511701.0,"Census Tract 5117.01, Santa Clara County, California",4249.0,3.55,1197.4,423
0,Census tract,6085511702.0,"Census Tract 5117.02, Santa Clara County, California",2649.0,1.02,2609.5,424
0,Census tract,6085511704.0,"Census Tract 5117.04, Santa Clara County, California",4585.0,5.94,771.4,425
0,Census tract,6085511705.0,"Census Tract 5117.05, Santa Clara County, California",1600.0,4.84,330.4,426
0,Census tract,6085511707.0,"Census Tract 5117.07, Santa Clara County, California",2955.0,43.61,67.8,427
0,Census tract,6085511800.0,"Census Tract 5118, Santa Clara County, California",4360.0,53.55,81.4,428
0,Census tract,6085511905.0,"Census Tract 5119.05, Santa Clara County, California",2959.0,0.49,6060.2,429
0,Census tract,6085511907.0,"Census Tract 5119.07, Santa Clara County, California",4303.0,0.67,6410.0,430
0,Census tract,6085511910.0,"Census Tract 5119.10, Santa Clara County, California",3106.0,0.88,3545.5,431
0,Census tract,6085511911.0,"Census Tract 5119.11, Santa Clara County, California",4893.0,14.11,346.7,432
0,Census tract,6085511912.0,"Census Tract 5119.12, Santa Clara County, California",5749.0,0.95,6079.8,433
0,Census tract,6085511913.0,"Census Tract 5119.13, Santa Clara County, California",4288.0,0.74,5772.9,434
0,Census tract,6085511914.0,"Census Tract 5119.14, Santa Clara County, California",6393.0,1.07,5963.1,435
0,Census tract,6085511915.0,"Census Tract 5119.15, Santa Clara County, California",4066.0,0.41,10015.0,436
0,Census tract,6085511916.0,"Census Tract 5119.16, Santa Clara County, California",4634.0,0.68,6810.7,437
0,Census tract,6085511917.0,"Census Tract 5119.17, Santa Clara County, California",4163.0,1.1,3770.9,438
0,Census tract,6085511918.0,"Census Tract 5119.18, Santa Clara County, California",3200.0,8.06,396.9,439
0,Census tract,6085512001.0,"Census Tract 5120.01, Santa Clara County, California",6099.0,7.74,788.0,440
0,Census tract,6085512005.0,"Census Tract 5120.05, Santa Clara County, California",6965.0,0.93,7451.2,441
0,Census tract,6085512019.0,"Census Tract 5120.19, Santa Clara County, California",4789.0,0.42,11500.2,442
0,Census tract,6085512021.0,"Census Tract 5120.21, Santa Clara County, California",6448.0,0.62,10456.4,443
0,Census tract,6085512022.0,"Census Tract 5120.22, Santa Clara County, California",6355.0,0.4,16025.2,444
0,Census tract,6085512023.0,"Census Tract 5120.23, Santa Clara County, California",5583.0,0.37,15236.1,445
0,Census tract,6085512024.0,"Census Tract 5120.24, Santa Clara County, California",5286.0,0.6,8814.0,446
0,Census tract,6085512025.0,"Census Tract 5120.25, Santa Clara County, California",3029.0,0.48,6286.2,447
0,Census tract,6085512026.0,"Census Tract 5120.26, Santa Clara County, California",3865.0,0.85,4536.8,448
0,Census tract,6085512027.0,"Census Tract 5120.27, Santa Clara County, California",4552.0,0.65,7039.0,449
0,Census tract,6085512029.0,"Census Tract 5120.29, Santa Clara County, California",8204.0,0.74,11160.1,450
0,Census tract,6085512030.0,"Census Tract 5120.30, Santa Clara County, California",3167.0,0.46,6882.9,451
0,Census tract,6085512031.0,"Census Tract 5120.31, Santa Clara County, California",4443.0,0.55,8015.1,452
0,Census tract,6085512032.0,"Census Tract 5120.32, Santa Clara County, California",2899.0,1.15,2529.2,453
0,Census tract,6085512034.0,"Census Tract 5120.34, Santa Clara County, California",2901.0,0.4,7203.5,454
0,Census tract,6085512035.0,"Census Tract 5120.35, Santa Clara County, California",4985.0,0.88,5651.4,455
0,Census tract,6085512036.0,"Census Tract 5120.36, Santa Clara County, California",4713.0,0.32,14703.9,456
0,Census tract,6085512037.0,"Census Tract 5120.37, Santa Clara County, California",3099.0,0.39,7961.5,457
0,Census tract,6085512038.0,"Census Tract 5120.38, Santa Clara County, California",3308.0,0.53,6209.2,458
0,Census tract,6085512039.0,"Census Tract 5120.39, Santa Clara County, California",6439.0,0.54,11980.9,459
0,Census tract,6085512042.0,"Census Tract 5120.42, Santa Clara County, California",3115.0,0.26,12162.5,460
0,Census tract,6085512043.0,"Census Tract 5120.43, Santa Clara County, California",5967.0,0.36,16756.5,461
0,Census tract,6085512045.0,"Census Tract 5120.45, Santa Clara County, California",5217.0,0.79,6595.9,462
0,Census tract,6085512047.0,"Census Tract 5120.47, Santa Clara County, California",5843.0,0.64,9151.6,463
0,Census tract,6085512052.0,"Census Tract 5120.52, Santa Clara County, California",4011.0,0.57,7059.2,464
0,Census tract,6085512053.0,"Census Tract 5120.53, Santa Clara County, California",4894.0,0.42,11600.9,465
0,Census tract,6085512054.0,"Census Tract 5120.54, Santa Clara County, California",4258.0,0.14,30447.7,466
0,Census tract,6085512055.0,"Census Tract 5120.55, Santa Clara County, California",3746.0,0.26,14325.3,467
0,Census tract,6085512056.0,"Census Tract 5120.56, Santa Clara County, California",4102.0,0.36,11241.7,468
0,Census tract,6085512057.0,"Census Tract 5120.57, Santa Clara County, California",4116.0,0.53,7772.7,469
0,Census tract,6085512058.0,"Census Tract 5120.58, Santa Clara County, California",4337.0,0.59,7320.3,470
0,Census tract,6085512059.0,"Census Tract 5120.59, Santa Clara County, California",6975.0,0.91,7655.5,471
0,Census tract,6085512100.0,"Census Tract 5121, Santa Clara County, California",1468.0,22.1,66.4,472
0,Census tract,6085512200.0,"Census Tract 5122, Santa Clara County, California",3837.0,101.41,37.8,473
0,Census tract,6085512305.0,"Census Tract 5123.05, Santa Clara County, California",4555.0,6.46,704.7,474
0,Census tract,6085512307.0,"Census Tract 5123.07, Santa Clara County, California",7151.0,2.11,3387.7,475
0,Census tract,6085512308.0,"Census Tract 5123.08, Santa Clara County, California",8661.0,5.4,1605.1,476
0,Census tract,6085512309.0,"Census Tract 5123.09, Santa Clara County, California",5102.0,3.53,1446.3,477
0,Census tract,6085512310.0,"Census Tract 5123.10, Santa Clara County, California",5328.0,1.53,3474.3,478
0,Census tract,6085512311.0,"Census Tract 5123.11, Santa Clara County, California",3931.0,2.12,1856.1,479
0,Census tract,6085512312.0,"Census Tract 5123.12, Santa Clara County, California",3649.0,0.54,6776.9,480
0,Census tract,6085512313.0,"Census Tract 5123.13, Santa Clara County, California",3627.0,1.01,3574.2,481
"Title: Population density, Santa Clara County",0,0.0,0,0.0,0.0,0.0,482
Notes: Population density is defined as number of people residing per square mile of area. Data are presented for zip codes (ZCTAs) fully within the county.,0,0.0,0,0.0,0.0,0.0,483
"Source: U.S. Census Bureau, 2016-2020 American Community Survey 5-year estimates, Table B01001; data accessed on April 11, 2022 from https://api.census.gov. The 2020 Decennial geographies are used for data summarization.",0,0.0,0,0.0,0.0,0.0,484
